Snapshot Date,Checkin Date,Discount Code,DayDiff,WeekDay,Hotel_Encoded_Name
38,59,2,22,2,190
38,59,2,22,2,194
38,59,3,22,2,200
38,59,2,22,2,271
38,59,3,22,2,290
38,59,2,22,2,292
38,59,3,22,2,299
38,59,3,22,2,301
38,59,2,22,2,314
38,59,2,22,2,327
38,59,1,22,2,341
38,59,2,22,2,388
38,59,2,22,2,408
38,59,2,22,2,453
38,59,3,22,2,472
38,59,3,22,2,494
38,59,1,22,2,506
38,59,3,22,2,525
38,60,4,23,3,94
38,60,4,23,3,113
38,60,2,23,3,169
38,60,4,23,3,180
38,60,4,23,3,186
38,60,1,23,3,190
38,60,3,23,3,192
38,60,2,23,3,194
38,60,4,23,3,196
38,60,1,23,3,199
38,60,3,23,3,200
38,60,2,23,3,271
38,60,2,23,3,290
38,60,1,23,3,292
38,60,2,23,3,299
38,60,3,23,3,301
38,60,1,23,3,314
38,60,3,23,3,323
38,60,3,23,3,326
38,60,2,23,3,368
38,60,3,23,3,370
38,60,1,23,3,388
38,60,1,23,3,408
38,60,1,23,3,453
38,60,2,23,3,472
38,60,4,23,3,494
38,60,3,23,3,506
38,60,2,23,3,510
38,60,3,23,3,513
38,60,2,23,3,525
38,60,1,23,3,529
38,60,1,23,3,534
38,61,2,24,4,0
38,61,1,24,4,47
38,61,3,24,4,79
38,61,3,24,4,141
38,61,3,24,4,170
38,61,4,24,4,174
38,61,2,24,4,189
38,61,4,24,4,191
38,61,2,24,4,192
38,61,4,24,4,194
38,61,3,24,4,200
38,61,4,24,4,224
38,61,2,24,4,272
38,61,1,24,4,285
38,61,2,24,4,290
38,61,4,24,4,292
38,61,1,24,4,299
38,61,3,24,4,301
38,61,2,24,4,309
38,61,2,24,4,323
38,61,2,24,4,324
38,61,4,24,4,341
38,61,2,24,4,363
38,61,4,24,4,368
38,61,4,24,4,370
38,61,2,24,4,408
38,61,3,24,4,453
38,61,3,24,4,492
38,61,2,24,4,498
38,61,4,24,4,526
38,62,1,25,5,0
38,62,2,25,5,141
38,62,4,25,5,163
38,62,2,25,5,171
38,62,3,25,5,174
38,62,2,25,5,186
38,62,3,25,5,192
38,62,3,25,5,194
38,62,2,25,5,196
38,62,3,25,5,224
38,62,2,25,5,260
38,62,4,25,5,286
38,62,3,25,5,290
38,62,1,25,5,292
38,62,2,25,5,299
38,62,2,25,5,301
38,62,2,25,5,327
38,62,2,25,5,361
38,62,1,25,5,363
38,62,3,25,5,368
38,62,3,25,5,370
38,62,2,25,5,421
38,62,2,25,5,453
38,62,3,25,5,472
38,62,3,25,5,527
38,62,2,25,5,530
38,63,2,26,6,9
38,63,4,26,6,113
38,63,2,26,6,169
38,63,1,26,6,186
38,63,2,26,6,192
38,63,2,26,6,224
38,63,1,26,6,260
38,63,4,26,6,271
38,63,1,26,6,285
38,63,3,26,6,286
38,63,3,26,6,290
38,63,4,26,6,292
38,63,1,26,6,299
38,63,2,26,6,321
38,63,1,26,6,361
38,63,2,26,6,370
38,63,2,26,6,397
38,63,4,26,6,449
38,63,1,26,6,453
38,63,2,26,6,472
38,63,3,26,6,530
38,64,1,27,7,9
38,64,2,27,7,79
38,64,1,27,7,94
38,64,2,27,7,112
38,64,1,27,7,124
38,64,4,27,7,173
38,64,3,27,7,175
38,64,1,27,7,180
38,64,1,27,7,186
38,64,1,27,7,188
38,64,1,27,7,191
38,64,1,27,7,192
38,64,1,27,7,194
38,64,2,27,7,196
38,64,1,27,7,200
38,64,1,27,7,224
38,64,1,27,7,270
38,64,1,27,7,271
38,64,4,27,7,286
38,64,4,27,7,292
38,64,1,27,7,334
38,64,3,27,7,342
38,64,3,27,7,397
38,64,4,27,7,453
38,64,1,27,7,494
38,64,2,27,7,527
38,64,3,27,7,530
38,65,4,28,1,124
38,65,1,28,1,150
38,65,4,28,1,176
38,65,2,28,1,194
38,65,2,28,1,196
38,65,2,28,1,223
38,65,4,28,1,271
38,65,4,28,1,285
38,65,3,28,1,286
38,65,3,28,1,301
38,65,3,28,1,327
38,65,3,28,1,334
38,65,2,28,1,339
38,65,3,28,1,370
38,65,4,28,1,434
38,65,3,28,1,538
38,66,3,29,2,124
38,66,2,29,2,176
38,66,2,29,2,200
38,66,3,29,2,243
38,66,2,29,2,269
38,66,2,29,2,286
38,66,2,29,2,290
38,66,2,29,2,301
38,66,2,29,2,327
38,66,3,29,2,334
38,66,2,29,2,370
38,66,4,29,2,408
38,66,2,29,2,420
38,66,4,29,2,471
38,66,3,29,2,472
38,66,2,29,2,538
38,67,4,30,3,94
38,67,1,30,3,163
38,67,4,30,3,173
38,67,2,30,3,176
38,67,4,30,3,194
