Hotel Name,Snapshot Date,Discount Code,Count
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-15,3,18
Westin New York at Times Square,2015-10-15,2,18
Westin New York at Times Square,2015-10-15,3,18
Conrad New York,2015-07-22,1,18
Magnuson Convention Center Hotel,2015-07-26,4,18
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-10,3,18
Newark Liberty International Airport Marriott,2015-12-31,2,18
Magnuson Convention Center Hotel,2015-07-26,1,18
Westin New York at Times Square,2015-10-17,2,18
Park Hyatt New York,2015-07-20,1,18
Magnuson Convention Center Hotel,2015-07-25,3,18
Wyndham Garden Brooklyn Sunset Park,2015-11-02,3,18
Magnuson Convention Center Hotel,2015-08-10,4,18
The Carlyle A Rosewood Hotel,2015-12-10,3,18
The Carlyle A Rosewood Hotel,2015-12-22,1,18
Wyndham Garden Brooklyn Sunset Park,2015-10-17,2,18
The Carlyle A Rosewood Hotel,2015-12-23,3,18
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-27,3,18
Wyndham Garden Brooklyn Sunset Park,2015-10-17,3,18
Wyndham Garden Brooklyn Sunset Park,2015-10-16,3,18
W New York - Union Square,2015-07-22,1,18
W New York - Union Square,2015-07-23,1,18
Viceroy New York,2015-12-28,2,18
The Carlyle A Rosewood Hotel,2015-12-23,1,18
W New York - Union Square,2015-07-22,4,18
W New York - Union Square,2015-07-23,4,18
W New York - Union Square,2015-07-22,3,18
Westin New York at Times Square,2015-07-27,3,18
The Carlyle A Rosewood Hotel,2015-12-10,4,18
The Carlyle A Rosewood Hotel,2015-12-26,1,18
Westin New York at Times Square,2015-07-26,3,18
Wyndham Garden Brooklyn Sunset Park,2015-11-02,2,18
Wyndham Garden Brooklyn Sunset Park,2015-10-24,3,18
Viceroy New York,2015-12-30,2,18
Wyndham Garden Brooklyn Sunset Park,2015-10-24,2,18
Newark Liberty International Airport Marriott,2015-12-31,3,17
The Carlyle A Rosewood Hotel,2015-12-29,3,17
Westin New York at Times Square,2015-10-18,2,17
Quality Inn Woodside,2015-11-04,2,17
Westin New York at Times Square,2015-10-20,3,17
Magnuson Convention Center Hotel,2015-07-25,1,17
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-26,3,17
Magnuson Convention Center Hotel,2015-07-25,4,17
Westin New York at Times Square,2015-10-16,3,17
Westin New York at Times Square,2015-10-16,2,17
Westin New York at Times Square,2015-08-02,3,17
Quality Inn Woodside,2015-11-03,3,17
Westin New York at Times Square,2015-07-29,3,17
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-14,3,17
Wyndham Garden Brooklyn Sunset Park,2015-10-19,3,17
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-25,3,17
Magnuson Convention Center Hotel,2015-08-02,2,17
Quality Inn Woodside,2015-10-25,3,17
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-17,3,17
Magnuson Convention Center Hotel,2015-07-29,3,17
Park Hyatt New York,2015-07-21,3,17
Magnuson Convention Center Hotel,2015-07-29,2,17
Residence Inn Newark Elizabeth Liberty International Airport,2016-01-01,3,17
Westin New York at Times Square,2015-10-26,3,17
Park Hyatt New York,2015-07-23,4,17
The Carlyle A Rosewood Hotel,2015-12-12,2,17
Westin New York at Times Square,2015-11-02,3,17
The Carlyle A Rosewood Hotel,2015-12-28,1,17
The Carlyle A Rosewood Hotel,2015-12-13,2,17
Westin New York at Times Square,2015-10-30,3,17
Viceroy New York,2015-12-28,3,17
Loews Regency New York Hotel,2015-08-25,2,17
Westin New York at Times Square,2015-11-01,2,17
Westin New York at Times Square,2015-10-27,3,17
The Carlyle A Rosewood Hotel,2015-12-24,1,17
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-01,3,17
Park Hyatt New York,2015-07-17,1,17
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-06,3,17
Westin New York at Times Square,2015-10-24,2,17
Quality Inn Woodside,2015-11-03,2,17
Quality Inn Woodside,2015-11-02,3,17
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-07,3,17
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-29,3,17
Viceroy New York,2015-12-27,2,17
Park Hyatt New York,2015-07-20,4,16
Hilton Garden Inn Times Square,2015-12-12,3,16
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-02,3,16
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-03,3,16
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-18,3,16
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-01,4,16
Westin New York at Times Square,2015-07-25,3,16
Newark Liberty International Airport Marriott,2015-12-28,4,16
Hilton Garden Inn Times Square,2015-09-20,2,16
Conrad New York,2015-07-23,1,16
Omni Berkshire Place,2015-08-05,2,16
Hilton Newark Airport,2015-07-23,2,16
Newark Liberty International Airport Marriott,2016-01-01,2,16
Magnuson Convention Center Hotel,2015-08-02,3,16
Omni Berkshire Place,2015-07-22,3,16
Quality Inn Woodside,2015-11-04,3,16
Omni Berkshire Place,2015-08-03,2,16
Magnuson Convention Center Hotel,2015-08-24,4,16
Westin New York at Times Square,2015-08-07,3,16
Park Hyatt New York,2015-07-18,4,16
Renaissance Newark Airport Hotel,2015-12-29,3,16
Magnuson Convention Center Hotel,2015-08-24,1,16
Omni Berkshire Place,2015-08-02,3,16
Hilton Garden Inn Times Square,2015-09-20,3,16
Residence Inn Newark Elizabeth Liberty International Airport,2015-10-31,3,16
Westin New York at Times Square,2015-07-30,3,16
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-11,3,16
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-12,3,16
Hampton Inn New York - 35th Street - Empire State Building,2015-11-17,2,16
Westin New York at Times Square,2015-07-28,3,16
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-15,4,16
Omni Berkshire Place,2015-08-02,2,16
Viceroy New York,2015-12-29,1,16
Quality Inn Woodside,2015-10-24,3,16
The Carlyle A Rosewood Hotel,2015-12-11,2,16
The Carlyle A Rosewood Hotel,2015-12-13,1,16
Viceroy New York,2015-12-26,1,16
Viceroy New York,2015-12-26,2,16
Westin New York at Times Square,2015-10-28,2,16
Westin New York at Times Square,2015-10-29,2,16
McCarren Hotel & Pool,2015-08-27,2,16
Westin New York at Times Square,2015-11-02,2,16
Park Hyatt New York,2015-08-03,3,16
Loews Regency New York Hotel,2015-07-22,2,16
Loews Regency New York Hotel,2015-07-22,3,16
Quality Inn Woodside,2015-10-24,2,16
Quality Inn Woodside,2015-10-23,3,16
Loews Regency New York Hotel,2015-07-23,2,16
Loews Regency New York Hotel,2015-08-25,3,16
Wyndham Garden Brooklyn Sunset Park,2015-11-09,2,16
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-30,3,16
W New York - Union Square,2015-07-23,3,16
W New York - Union Square,2015-07-23,2,16
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-28,3,16
W New York - Union Square,2015-07-22,2,16
Newark Liberty International Airport Marriott,2015-10-03,3,16
Newark Liberty International Airport Marriott,2015-10-05,3,16
Newark Liberty International Airport Marriott,2015-10-06,3,16
Newark Liberty International Airport Marriott,2015-10-07,3,16
Newark Liberty International Airport Marriott,2015-10-08,3,16
Viceroy New York,2015-12-31,2,16
Renaissance Newark Airport Hotel,2015-12-30,3,16
Viceroy New York,2015-12-30,1,16
Wyndham Garden Brooklyn Sunset Park,2015-11-08,3,16
Hilton Garden Inn Times Square,2015-09-18,3,16
The Plaza Hotel,2015-07-28,3,16
Park Hyatt New York,2015-07-21,2,16
Newark Liberty International Airport Marriott,2015-10-14,3,16
Westin New York at Times Square,2015-10-13,3,16
Westin New York at Times Square,2015-10-14,3,16
The Plaza Hotel,2015-07-29,3,16
The Plaza Hotel,2015-07-29,2,16
Westin New York at Times Square,2015-10-12,2,16
Newark Liberty International Airport Marriott,2015-10-13,3,16
Newark Liberty International Airport Marriott,2015-12-27,4,16
The Plaza Hotel,2015-07-28,2,16
Quality Inn Woodside,2015-10-25,2,16
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-19,3,16
Hilton Garden Inn Times Square,2015-09-18,2,16
Hilton Garden Inn Times Square,2015-09-19,3,16
Hilton Garden Inn Times Square,2015-09-19,2,16
Westin New York at Times Square,2015-10-08,2,16
Omni Berkshire Place,2015-08-04,2,15
The Lexington New York City Autograph Collection,2015-08-21,2,15
Hilton Garden Inn Times Square,2015-10-02,3,15
Homewood Suites by Hilton NY Midtown Manhattan Times Square,2015-08-02,2,15
Omni Berkshire Place,2015-08-12,2,15
McCarren Hotel & Pool,2015-08-27,3,15
The Lexington New York City Autograph Collection,2015-08-23,2,15
Newark Liberty International Airport Marriott,2015-12-29,1,15
Hilton Garden Inn Times Square,2015-08-18,3,15
Viceroy New York,2015-12-31,1,15
Hilton Garden Inn Times Square,2015-10-03,3,15
Newark Liberty International Airport Marriott,2015-10-15,3,15
Hilton Garden Inn Times Square,2015-08-27,2,15
